ImageID,distance,location
158,344,"[232, 157]"
159,217,"[231, 66]"
160,151,"[247, 349]"
161,251,"[248, 77]"
162,438,"[244, 396]"
163,254,"[222, 489]"
164,394,"[208, 195]"
165,266,"[328, 453]"
166,119,"[329, 247]"
167,263,"[290, 321]"
168,351,"[209, 345]"
169,476,"[302, 120]"
170,201,"[259, 72]"
171,331,"[216, 334]"
172,358,"[279, 366]"
173,403,"[210, 449]"
174,214,"[221, 183]"
175,389,"[264, 403]"
176,447,"[294, 89]"
177,329,"[289, 338]"
178,425,"[210, 259]"
179,314,"[236, 474]"
180,177,"[223, 291]"
181,203,"[211, 87]"
182,175,"[282, 336]"
183,339,"[222, 261]"
184,328,"[326, 366]"
185,355,"[208, 245]"
186,75,"[241, 206]"
187,480,"[260, 98]"
188,157,"[202, 344]"
189,468,"[226, 235]"
190,172,"[326, 366]"
191,390,"[206, 317]"
192,228,"[242, 126]"
193,231,"[240, 293]"
194,375,"[223, 373]"
195,475,"[226, 311]"
196,178,"[296, 456]"
197,222,"[260, 225]"
198,80,"[226, 364]"
199,344,"[264, 365]"
200,198,"[327, 356]"
201,126,"[285, 91]"
202,352,"[277, 119]"
203,280,"[289, 204]"
204,248,"[324, 276]"
205,218,"[206, 390]"
206,437,"[259, 464]"
207,352,"[222, 136]"
208,201,"[279, 354]"
209,443,"[243, 136]"
210,337,"[235, 313]"
211,140,"[291, 273]"
212,379,"[259, 478]"
213,81,"[233, 344]"
214,452,"[308, 468]"
215,265,"[276, 112]"
216,258,"[287, 303]"
217,454,"[208, 74]"
218,282,"[283, 142]"
219,298,"[286, 221]"
220,221,"[308, 105]"
221,297,"[245, 414]"
222,277,"[314, 315]"
223,467,"[258, 165]"
224,372,"[242, 416]"
225,153,"[236, 285]"
226,207,"[321, 261]"
227,299,"[232, 141]"
228,280,"[216, 485]"
229,444,"[208, 301]"
230,191,"[263, 374]"
231,112,"[263, 113]"
232,94,"[284, 185]"
233,122,"[318, 255]"
234,358,"[294, 298]"
235,210,"[234, 346]"
236,84,"[271, 216]"
237,487,"[208, 154]"
238,219,"[269, 300]"
239,79,"[320, 482]"
240,84,"[253, 233]"
241,157,"[202, 500]"
242,449,"[302, 277]"
243,383,"[274, 451]"
244,155,"[242, 79]"
245,452,"[274, 190]"
246,87,"[266, 495]"
247,98,"[326, 324]"
248,208,"[289, 472]"
249,449,"[302, 179]"
250,264,"[218, 211]"
251,310,"[302, 298]"
252,205,"[275, 452]"
253,459,"[239, 130]"
254,176,"[240, 141]"
255,320,"[284, 244]"
256,401,"[238, 488]"
257,73,"[322, 407]"
258,119,"[258, 262]"
259,236,"[233, 118]"
260,193,"[319, 234]"
261,217,"[216, 327]"
262,161,"[298, 355]"
263,226,"[230, 305]"
264,479,"[319, 274]"
265,90,"[262, 152]"
266,433,"[214, 64]"
267,322,"[232, 310]"
268,177,"[256, 444]"
269,196,"[225, 112]"
270,164,"[251, 196]"
271,230,"[275, 229]"
272,403,"[219, 300]"
273,422,"[273, 146]"
274,406,"[298, 104]"
275,111,"[267, 396]"
276,104,"[271, 78]"
277,475,"[306, 258]"
278,190,"[279, 356]"
279,200,"[270, 214]"
280,144,"[297, 420]"
281,424,"[308, 164]"
282,279,"[302, 231]"
283,259,"[199, 469]"
284,308,"[252, 431]"
285,211,"[263, 310]"
286,256,"[221, 76]"
287,159,"[313, 183]"
288,465,"[291, 234]"
289,424,"[258, 317]"
290,247,"[295, 92]"
291,106,"[289, 440]"
292,382,"[254, 329]"
293,190,"[256, 375]"
294,122,"[290, 320]"
295,109,"[302, 229]"
296,455,"[326, 274]"
297,142,"[329, 137]"
298,87,"[292, 237]"
299,413,"[267, 181]"
300,432,"[241, 258]"
301,408,"[267, 275]"
302,116,"[203, 456]"
303,452,"[208, 275]"
304,146,"[266, 373]"
305,415,"[207, 152]"
306,123,"[274, 199]"
307,468,"[261, 476]"
308,389,"[296, 183]"
309,116,"[232, 458]"
310,487,"[286, 481]"
311,240,"[218, 492]"
312,301,"[276, 257]"
313,152,"[233, 478]"
314,352,"[220, 173]"
315,430,"[229, 300]"
316,466,"[328, 360]"
317,255,"[217, 112]"
318,140,"[276, 332]"
319,264,"[310, 420]"
320,270,"[204, 413]"
321,415,"[232, 76]"
322,421,"[303, 239]"
323,379,"[237, 76]"
324,410,"[235, 106]"
325,189,"[324, 65]"
326,239,"[207, 285]"
327,177,"[293, 154]"
328,419,"[312, 387]"
329,337,"[294, 193]"
330,204,"[302, 352]"
331,426,"[290, 144]"
332,329,"[229, 470]"
333,328,"[213, 144]"
334,364,"[302, 362]"
335,280,"[271, 274]"
336,408,"[206, 264]"
337,409,"[317, 375]"
338,157,"[222, 142]"
339,118,"[239, 297]"
340,490,"[286, 247]"
341,450,"[301, 272]"
342,302,"[258, 444]"
343,106,"[286, 367]"
344,293,"[270, 415]"
345,126,"[268, 75]"
346,406,"[215, 493]"
347,64,"[294, 323]"
348,225,"[301, 252]"
349,190,"[215, 324]"
350,281,"[275, 175]"
351,286,"[244, 80]"
352,73,"[310, 411]"
353,111,"[236, 258]"
354,112,"[249, 271]"
355,92,"[204, 443]"
356,307,"[307, 369]"
357,187,"[262, 254]"
358,445,"[222, 182]"
359,354,"[312, 341]"
360,81,"[305, 69]"
361,313,"[240, 255]"
362,350,"[316, 169]"
363,284,"[291, 235]"
364,90,"[248, 272]"
365,250,"[305, 121]"
366,310,"[255, 160]"
367,464,"[324, 434]"
368,339,"[221, 247]"
369,418,"[301, 194]"
370,351,"[275, 150]"
371,272,"[251, 239]"
372,234,"[306, 321]"
373,140,"[320, 502]"
374,375,"[229, 167]"
375,299,"[270, 441]"
376,138,"[216, 110]"
377,276,"[236, 348]"
378,431,"[265, 183]"
379,282,"[265, 189]"
380,435,"[219, 426]"
381,373,"[236, 265]"
382,145,"[214, 203]"
383,308,"[235, 456]"
384,258,"[310, 181]"
385,461,"[212, 499]"
386,93,"[288, 223]"
387,281,"[285, 255]"
388,377,"[244, 490]"
389,314,"[220, 350]"
390,233,"[313, 420]"
391,377,"[306, 300]"
392,330,"[285, 112]"
393,182,"[318, 478]"
394,73,"[273, 160]"
395,103,"[247, 341]"
396,407,"[296, 268]"
397,381,"[293, 254]"
398,96,"[277, 450]"
399,270,"[266, 424]"
400,293,"[242, 345]"
401,288,"[259, 483]"
402,132,"[295, 300]"
403,147,"[327, 112]"
404,204,"[287, 268]"
405,142,"[290, 166]"
406,146,"[297, 375]"
407,151,"[254, 80]"
408,388,"[312, 321]"
409,212,"[294, 384]"
410,115,"[256, 283]"
411,128,"[321, 484]"
412,87,"[301, 312]"
413,279,"[246, 294]"
414,175,"[306, 279]"
415,177,"[204, 453]"
416,121,"[306, 176]"
417,393,"[214, 189]"
418,169,"[256, 397]"
419,160,"[289, 420]"
420,363,"[230, 302]"
421,147,"[293, 120]"
422,234,"[240, 110]"
423,249,"[297, 133]"
424,84,"[326, 434]"
425,290,"[241, 298]"
426,229,"[280, 125]"
427,242,"[288, 478]"
428,323,"[276, 327]"
429,365,"[284, 398]"
430,263,"[272, 217]"
431,216,"[282, 144]"
432,195,"[317, 234]"
433,304,"[277, 228]"
434,486,"[304, 339]"
435,202,"[295, 338]"
436,302,"[268, 162]"
437,159,"[268, 202]"
438,157,"[316, 223]"
439,162,"[222, 175]"
440,433,"[228, 268]"
441,409,"[316, 118]"
442,203,"[294, 330]"
443,245,"[278, 133]"
444,121,"[278, 355]"
445,233,"[279, 354]"
446,106,"[217, 112]"
447,224,"[290, 238]"
448,80,"[291, 379]"
449,346,"[234, 319]"
450,299,"[242, 345]"
451,275,"[328, 300]"
452,205,"[241, 297]"
453,109,"[323, 153]"
454,141,"[325, 377]"
455,459,"[279, 176]"
456,186,"[223, 91]"
457,392,"[267, 73]"
458,411,"[252, 96]"
459,445,"[273, 297]"
460,259,"[233, 467]"
461,80,"[270, 285]"
462,367,"[260, 389]"
463,167,"[291, 406]"
464,357,"[287, 173]"
465,198,"[289, 173]"
466,386,"[308, 153]"
467,239,"[271, 325]"
468,197,"[329, 438]"
469,82,"[207, 259]"
470,226,"[203, 265]"
471,211,"[324, 182]"
472,305,"[223, 426]"
473,371,"[227, 307]"
474,423,"[268, 496]"
475,288,"[228, 97]"
476,307,"[235, 309]"
477,197,"[327, 340]"
478,451,"[282, 227]"
479,199,"[213, 247]"
480,289,"[312, 180]"
481,480,"[233, 110]"
482,249,"[252, 294]"
483,292,"[238, 191]"
484,325,"[314, 436]"
485,189,"[283, 317]"
486,215,"[241, 154]"
487,422,"[202, 209]"
488,342,"[272, 317]"
489,161,"[235, 228]"
490,141,"[269, 179]"
491,258,"[281, 329]"
492,439,"[257, 181]"
493,89,"[261, 409]"
494,94,"[224, 233]"
495,126,"[258, 171]"
496,385,"[241, 267]"
497,362,"[247, 266]"
498,484,"[216, 127]"
499,186,"[233, 133]"
500,461,"[292, 83]"
501,104,"[295, 207]"
502,66,"[223, 329]"
503,94,"[225, 335]"
504,154,"[224, 491]"
505,327,"[209, 109]"
506,441,"[251, 73]"
507,124,"[228, 100]"
508,206,"[307, 374]"
509,364,"[273, 305]"
510,132,"[223, 357]"
511,265,"[272, 466]"
512,326,"[228, 324]"
513,288,"[237, 51]"
514,382,"[306, 442]"
515,412,"[220, 100]"
516,199,"[295, 228]"
517,196,"[283, 420]"
518,320,"[255, 213]"
519,486,"[208, 337]"
520,413,"[251, 83]"
521,290,"[262, 124]"
522,134,"[273, 119]"
523,365,"[256, 165]"
524,394,"[204, 203]"
525,417,"[232, 258]"
526,367,"[314, 464]"
527,480,"[229, 209]"
528,136,"[275, 365]"
529,175,"[323, 180]"
530,436,"[285, 63]"
531,186,"[265, 290]"
532,321,"[204, 280]"
533,350,"[315, 409]"
534,414,"[219, 206]"
535,278,"[325, 176]"
536,214,"[219, 349]"
537,97,"[319, 113]"
538,417,"[314, 368]"
539,113,"[215, 188]"
540,373,"[205, 309]"
541,159,"[264, 223]"
542,353,"[288, 479]"
543,176,"[260, 272]"
544,331,"[274, 229]"
545,258,"[329, 434]"
546,169,"[257, 480]"
547,464,"[261, 359]"
548,135,"[243, 296]"
549,445,"[318, 164]"
550,306,"[295, 93]"
551,404,"[287, 456]"
552,333,"[239, 382]"
553,485,"[271, 258]"
554,282,"[202, 255]"
555,397,"[205, 130]"
556,466,"[222, 118]"
557,258,"[205, 380]"
558,210,"[215, 87]"
559,462,"[282, 106]"
560,344,"[235, 251]"
561,118,"[224, 334]"
562,171,"[227, 410]"
563,383,"[236, 59]"
564,140,"[274, 206]"
565,246,"[284, 456]"
566,196,"[315, 349]"
567,171,"[279, 294]"
568,128,"[265, 74]"
569,434,"[228, 214]"
570,317,"[268, 462]"
571,145,"[203, 486]"
572,187,"[317, 444]"
573,164,"[225, 445]"
574,351,"[273, 108]"
575,146,"[211, 79]"
576,263,"[306, 330]"
577,253,"[303, 313]"
578,251,"[311, 168]"
579,313,"[215, 312]"
580,219,"[232, 261]"
581,136,"[257, 317]"
582,456,"[278, 317]"
583,420,"[283, 442]"
584,196,"[313, 261]"
585,302,"[200, 468]"
586,270,"[242, 362]"
587,395,"[248, 303]"
588,160,"[264, 66]"
589,258,"[322, 443]"
590,376,"[276, 141]"
591,304,"[263, 73]"
592,222,"[302, 482]"
593,112,"[289, 346]"
594,486,"[261, 263]"
595,473,"[240, 362]"
596,155,"[282, 492]"
597,424,"[234, 322]"
598,302,"[291, 413]"
599,417,"[308, 310]"
600,406,"[245, 154]"
601,337,"[318, 254]"
602,269,"[259, 65]"
603,165,"[279, 212]"
604,192,"[297, 226]"
605,399,"[204, 181]"
606,120,"[204, 175]"
607,165,"[213, 126]"
608,397,"[233, 453]"
609,273,"[300, 356]"
610,461,"[224, 179]"
611,436,"[229, 128]"
612,199,"[203, 384]"
613,414,"[275, 360]"
614,92,"[230, 406]"
615,308,"[208, 199]"
616,437,"[212, 329]"
617,188,"[303, 167]"
618,483,"[302, 84]"
619,144,"[297, 438]"
620,175,"[217, 84]"
621,404,"[306, 431]"
622,319,"[288, 406]"
623,85,"[223, 146]"
624,407,"[208, 262]"
625,242,"[319, 109]"
626,248,"[283, 362]"
627,399,"[212, 373]"
628,220,"[314, 485]"
629,464,"[289, 141]"
630,161,"[234, 214]"
631,216,"[263, 138]"
632,390,"[231, 390]"
633,379,"[207, 94]"
634,257,"[327, 367]"
635,253,"[245, 255]"
636,404,"[231, 310]"
637,255,"[296, 178]"
638,415,"[255, 460]"
639,290,"[306, 261]"
640,380,"[284, 120]"
641,109,"[261, 314]"
642,131,"[211, 344]"
643,178,"[302, 290]"
644,146,"[250, 216]"
645,204,"[327, 376]"
646,132,"[230, 157]"
647,315,"[307, 256]"
648,303,"[305, 398]"
649,400,"[216, 197]"
650,170,"[289, 70]"
651,395,"[231, 93]"
652,324,"[269, 270]"
653,87,"[326, 176]"
654,409,"[326, 374]"
655,470,"[257, 496]"
656,416,"[222, 223]"
657,257,"[327, 476]"
658,105,"[218, 493]"
659,471,"[240, 121]"
660,163,"[302, 146]"
661,447,"[264, 487]"
662,125,"[248, 431]"
663,119,"[254, 449]"
664,279,"[211, 123]"
665,189,"[254, 385]"
666,421,"[238, 152]"
667,113,"[203, 247]"
668,344,"[289, 241]"
669,110,"[257, 218]"
670,352,"[324, 213]"
671,170,"[297, 147]"
672,141,"[270, 363]"
673,281,"[215, 219]"
674,424,"[240, 462]"
675,316,"[297, 139]"
676,384,"[289, 122]"
677,436,"[278, 72]"
678,442,"[228, 407]"
679,349,"[220, 471]"
680,195,"[293, 390]"
681,382,"[262, 462]"
682,297,"[253, 244]"
683,307,"[206, 366]"
684,61,"[239, 256]"
685,144,"[287, 226]"
686,289,"[214, 236]"
687,187,"[230, 425]"
688,104,"[252, 404]"
689,98,"[264, 258]"
690,236,"[251, 357]"
691,107,"[261, 286]"
692,215,"[207, 310]"
693,256,"[286, 78]"
694,292,"[287, 275]"
695,232,"[277, 85]"
696,189,"[246, 83]"
697,315,"[205, 492]"
698,335,"[270, 111]"
699,481,"[328, 358]"
700,146,"[306, 151]"
701,166,"[310, 422]"
702,376,"[293, 323]"
703,273,"[285, 149]"
704,286,"[287, 170]"
705,236,"[296, 146]"
706,269,"[207, 475]"
707,269,"[317, 229]"
708,140,"[216, 318]"
709,268,"[228, 251]"
710,162,"[264, 431]"
711,283,"[316, 446]"
712,235,"[309, 467]"
713,429,"[308, 398]"
714,437,"[258, 139]"
715,329,"[233, 295]"
716,334,"[279, 65]"
717,369,"[283, 171]"
718,265,"[252, 232]"
719,384,"[257, 432]"
720,450,"[262, 417]"
721,69,"[209, 126]"
722,101,"[283, 82]"
723,449,"[293, 112]"
724,328,"[219, 264]"
725,303,"[322, 129]"
726,171,"[260, 160]"
727,415,"[324, 103]"
728,147,"[227, 269]"
729,271,"[331, 429]"
730,343,"[259, 486]"
731,326,"[227, 484]"
732,465,"[317, 212]"
733,468,"[249, 60]"
734,400,"[321, 174]"
735,432,"[265, 197]"
736,357,"[235, 329]"
737,414,"[283, 296]"
738,408,"[330, 367]"
739,239,"[220, 114]"
740,70,"[277, 179]"
741,452,"[213, 167]"
742,437,"[211, 413]"
743,489,"[280, 207]"
744,425,"[283, 156]"
745,287,"[300, 176]"
746,160,"[216, 390]"
747,424,"[249, 213]"
748,445,"[280, 385]"
749,377,"[321, 334]"
750,81,"[218, 260]"
751,452,"[267, 459]"
752,192,"[215, 96]"
753,131,"[259, 191]"
754,396,"[326, 165]"
755,485,"[290, 135]"
756,176,"[290, 215]"
757,483,"[205, 351]"
758,216,"[260, 143]"
759,243,"[276, 262]"
760,169,"[254, 428]"
761,287,"[280, 270]"
762,275,"[236, 310]"
763,262,"[239, 355]"
764,318,"[294, 457]"
765,147,"[262, 342]"
766,244,"[279, 119]"
767,467,"[233, 496]"
768,319,"[217, 249]"
769,206,"[289, 181]"
770,257,"[329, 473]"
771,232,"[314, 103]"
772,116,"[247, 436]"
773,488,"[245, 170]"
774,151,"[269, 167]"
775,227,"[204, 400]"
776,330,"[257, 236]"
777,168,"[315, 482]"
778,122,"[203, 395]"
779,386,"[281, 445]"
780,337,"[251, 96]"
781,230,"[298, 298]"
782,95,"[266, 194]"
783,104,"[239, 338]"
784,202,"[286, 365]"
785,198,"[268, 350]"
786,441,"[254, 124]"
787,145,"[268, 288]"
788,241,"[221, 375]"
789,221,"[262, 111]"
790,282,"[238, 106]"
791,477,"[277, 404]"
792,241,"[208, 61]"
793,298,"[279, 264]"
794,265,"[313, 375]"
795,428,"[323, 350]"
796,234,"[322, 462]"
797,195,"[279, 251]"
798,279,"[250, 70]"
799,98,"[253, 99]"
800,292,"[316, 112]"
801,186,"[298, 314]"
802,244,"[320, 68]"
803,158,"[253, 399]"
804,405,"[255, 399]"
805,343,"[209, 333]"
806,168,"[238, 158]"
807,66,"[237, 125]"
808,316,"[291, 328]"
809,323,"[285, 64]"
810,148,"[324, 265]"
811,487,"[225, 111]"
812,393,"[240, 100]"
813,131,"[226, 361]"
814,209,"[287, 142]"
815,200,"[295, 426]"
816,177,"[259, 171]"
817,270,"[215, 424]"
818,467,"[259, 181]"
819,114,"[325, 154]"
820,477,"[277, 266]"
821,317,"[268, 421]"
822,263,"[210, 299]"
823,442,"[312, 329]"
824,174,"[321, 332]"
825,187,"[309, 367]"
826,174,"[303, 258]"
827,332,"[220, 313]"
828,155,"[266, 354]"
829,388,"[287, 402]"
830,320,"[222, 324]"
831,377,"[228, 359]"
832,287,"[248, 145]"
833,192,"[329, 463]"
834,208,"[224, 161]"
835,435,"[260, 206]"
836,172,"[209, 455]"
837,300,"[283, 199]"
838,415,"[302, 211]"
839,450,"[280, 397]"
840,226,"[249, 260]"
841,87,"[230, 306]"
842,199,"[234, 135]"
843,470,"[256, 262]"
844,400,"[211, 245]"
845,350,"[209, 452]"
846,358,"[308, 66]"
847,250,"[322, 328]"
848,191,"[294, 397]"
849,134,"[311, 243]"
850,236,"[245, 415]"
851,325,"[205, 316]"
852,180,"[250, 308]"
853,260,"[223, 332]"
854,390,"[238, 96]"
855,404,"[252, 205]"
856,386,"[256, 115]"
857,234,"[227, 369]"
858,323,"[260, 458]"
859,133,"[251, 429]"
860,270,"[226, 267]"
861,351,"[287, 443]"
862,232,"[283, 83]"
863,472,"[319, 74]"
864,367,"[261, 368]"
865,428,"[211, 288]"
866,474,"[258, 448]"
867,439,"[208, 224]"
868,369,"[205, 133]"
869,442,"[222, 412]"
870,394,"[252, 333]"
871,157,"[260, 198]"
872,380,"[265, 238]"
873,363,"[330, 476]"
874,166,"[327, 384]"
875,230,"[276, 338]"
876,114,"[212, 240]"
877,370,"[325, 460]"
878,225,"[306, 405]"
879,464,"[232, 458]"
880,265,"[264, 332]"
881,403,"[320, 307]"
882,366,"[240, 245]"
883,307,"[258, 232]"
884,481,"[211, 387]"
885,297,"[249, 260]"
886,394,"[296, 54]"
887,295,"[277, 271]"
888,392,"[300, 382]"
889,462,"[295, 335]"
890,134,"[279, 351]"
891,409,"[284, 61]"
892,395,"[256, 439]"
893,116,"[294, 234]"
894,108,"[291, 150]"
895,278,"[295, 285]"
896,435,"[226, 261]"
897,282,"[216, 261]"
898,476,"[288, 313]"
899,470,"[201, 103]"
900,319,"[289, 323]"
901,179,"[243, 83]"
902,420,"[269, 71]"
903,248,"[202, 288]"
904,78,"[231, 384]"
905,248,"[319, 482]"
906,199,"[204, 407]"
907,252,"[215, 132]"
908,446,"[206, 121]"
909,151,"[218, 276]"
910,377,"[279, 465]"
911,163,"[257, 403]"
912,188,"[214, 476]"
913,460,"[251, 313]"
914,152,"[252, 319]"
915,236,"[238, 349]"
916,234,"[332, 507]"
917,299,"[220, 92]"
918,319,"[246, 243]"
919,133,"[217, 430]"
920,257,"[258, 343]"
921,158,"[275, 62]"
922,61,"[246, 133]"
923,269,"[252, 485]"
924,157,"[329, 374]"
925,168,"[216, 339]"
926,198,"[291, 493]"
927,339,"[210, 296]"
928,207,"[269, 414]"
929,106,"[316, 375]"
930,429,"[286, 75]"
931,339,"[256, 218]"
932,91,"[219, 190]"
933,230,"[306, 160]"
934,183,"[237, 301]"
935,408,"[234, 227]"
936,167,"[249, 359]"
937,88,"[278, 253]"
938,164,"[301, 91]"
939,378,"[319, 235]"
940,221,"[237, 213]"
941,399,"[325, 203]"
942,487,"[286, 354]"
943,302,"[279, 367]"
944,350,"[295, 476]"
945,97,"[212, 187]"
946,208,"[200, 476]"
947,141,"[292, 493]"
948,132,"[328, 297]"
949,470,"[287, 317]"
950,228,"[264, 214]"
951,99,"[263, 434]"
952,162,"[320, 273]"
953,339,"[314, 226]"
954,228,"[320, 454]"
955,305,"[305, 252]"
956,269,"[293, 55]"
957,475,"[263, 130]"
958,126,"[302, 112]"
959,436,"[245, 399]"
960,186,"[238, 378]"
961,364,"[235, 177]"
962,439,"[224, 363]"
963,472,"[220, 173]"
964,133,"[244, 331]"
965,348,"[232, 475]"
966,345,"[215, 275]"
967,485,"[218, 361]"
968,370,"[250, 339]"
969,156,"[258, 414]"
970,102,"[207, 156]"
971,205,"[259, 488]"
972,234,"[236, 398]"
973,394,"[289, 381]"
974,92,"[228, 233]"
975,229,"[269, 257]"
976,468,"[283, 292]"
977,364,"[214, 486]"
978,210,"[315, 185]"
979,117,"[328, 494]"
980,110,"[235, 366]"
981,387,"[297, 306]"
982,444,"[306, 275]"
983,333,"[252, 129]"
984,285,"[295, 103]"
985,101,"[218, 433]"
986,487,"[296, 485]"
987,264,"[262, 413]"
988,469,"[267, 104]"
989,416,"[319, 219]"
990,435,"[238, 165]"
991,469,"[269, 322]"
992,88,"[220, 71]"
993,247,"[256, 411]"
994,311,"[290, 200]"
995,366,"[270, 226]"
996,222,"[297, 307]"
997,206,"[216, 256]"
998,256,"[326, 112]"
999,135,"[204, 361]"
1000,100,"[297, 137]"
1001,136,"[207, 53]"
1002,275,"[272, 353]"
1003,411,"[250, 175]"
1004,70,"[310, 384]"
1005,407,"[255, 82]"
1006,369,"[209, 184]"
1007,475,"[274, 167]"
1008,333,"[236, 60]"
1009,132,"[316, 357]"
1010,247,"[239, 318]"
1011,381,"[301, 407]"
1012,98,"[245, 213]"
1013,293,"[279, 161]"
1014,99,"[327, 438]"
1015,409,"[246, 90]"
1016,101,"[218, 446]"
1017,174,"[248, 457]"
1018,357,"[206, 457]"
1019,412,"[220, 425]"
1020,253,"[306, 262]"
1021,270,"[242, 145]"
1022,472,"[221, 306]"
1023,166,"[236, 132]"
1024,359,"[315, 152]"
1025,245,"[222, 270]"
1026,91,"[294, 455]"
1027,283,"[328, 168]"
1028,473,"[255, 158]"
1029,144,"[304, 320]"
1030,159,"[245, 498]"
1031,257,"[277, 248]"
1032,346,"[317, 352]"
1033,281,"[281, 103]"
1034,276,"[272, 152]"
1035,254,"[291, 235]"
1036,154,"[303, 170]"
1037,413,"[268, 402]"
1038,207,"[284, 489]"
1039,119,"[268, 137]"
1040,486,"[204, 334]"
1041,425,"[303, 488]"
1042,120,"[300, 394]"
1043,195,"[321, 448]"
1044,306,"[213, 450]"
1045,277,"[317, 228]"
1046,181,"[245, 428]"
1047,361,"[203, 454]"
1048,380,"[211, 61]"
1049,129,"[296, 302]"
1050,140,"[326, 421]"
1051,122,"[256, 274]"
1052,201,"[306, 206]"
1053,182,"[326, 414]"
1054,308,"[249, 165]"
1055,382,"[316, 254]"
1056,349,"[304, 361]"
1057,324,"[204, 307]"
1058,424,"[317, 428]"
1059,81,"[242, 240]"
1060,339,"[311, 362]"
1061,467,"[329, 430]"
1062,76,"[327, 210]"
1063,336,"[280, 94]"
1064,427,"[276, 201]"
1065,368,"[327, 305]"
1066,449,"[233, 219]"
1067,383,"[307, 70]"
1068,331,"[259, 388]"
1069,260,"[302, 437]"
